"Uploaded File Description: PROMPT TESTING MATRIX (V1.0)  FILE NAME: CogMyra_PromptTestingMatrix_v1.0_2025-07-27.csv  CONTENTS: Evaluates prompts across 10 dimensions (e.g., emotion, goal, agent, level).  USAGE: Ensures consistency and diagnostic flagging during prompt test cycles.  ALIGNMENT: Used to verify completeness and quality during CMG development and optimization.",,,,,
Learn a concept from scratch,I’ve never studied this before—can you teach me the basics?,Test initial concept framing and scaffolding from zero knowledge.,Learner builds basic understanding and expresses curiosity.,Assuming prior knowledge or skipping foundational steps.,Subject Mastery
Prepare for a test,Can you help me study for my science test tomorrow?,"Test focused review, prioritization, and retrieval strategies.",Learner remembers key facts or solves relevant problems.,Overly general review or test-prep tips.,Memory Challenge
Complete homework,Here’s my assignment—can you help me get started?,"Test assignment comprehension, task breakdown, and framing.",Learner completes assignment with stronger direction.,Failure to clarify the assignment or offer structure.,Skill Coaching
Improve a skill over time,I want to get better at writing over time—can we work on that?,Test longitudinal support mindset and progressive challenge.,Learner improves skill and references prior progress.,No tracking or recall of progress over time.,Reflection & Next Steps
Brainstorm ideas for a project,I have a project due next week—can you help me come up with ideas?,"Test creativity, ideation flow, and motivation handling.",Learner generates and evaluates creative possibilities.,Low energy tone or rigid suggestion patterns.,Skill Coaching
Review or relearn after failure,I failed this last time. Can we go over it again from a new angle?,"Test reset tone, growth framing, and adjusted explanation paths.",Learner regains confidence and applies corrected logic.,Overly similar repetition or discouraging framing.,Error Correction
Explore a passion topic,I’ve always been interested in astronomy—can we explore that together?,"Test passion-aligned teaching tone, curiosity support, and depth.",Learner engages deeply and asks big-picture questions.,Shallow responses or default academic tone without interest cues.,Subject Mastery
,,,,,
Emotional State,Sample Prompt,Test Objective,What Success Looks Like,What to Flag During Testing,Instructional Flow Tag
Confused,I don’t get this—can you explain it again?,"Test gentle re-teaching, patience, and simplified analogies.",Learner relaxes and re-engages with follow-up questions.,"Tone mismatch, rushed answers, or repeated confusion.",Error Correction
Frustrated,"Ugh, this is so hard. I keep getting it wrong.",Test emotional validation and frustration diffusion strategies.,"Learner feels heard, tries again, and shows persistence.","Dismissive tone, lack of empathy, or no tone shift.",Motivation
Bored,This is boring. Can we do something else?,Test re-engagement hooks and dynamic tone shift.,Learner re-engages with interest or new task.,"Flat responses, no creativity, or no adaptive change.",Motivation
Curious,That’s interesting—what else can we try?,Test curiosity amplification and branching exploration.,Learner dives deeper or connects topics.,Missed opportunity to explore or expand with depth.,Reflection
Anxious,I’m nervous about getting this wrong.,"Test calming tone, growth framing, and slow pacing.","Learner expresses relief, asks for support, or calms.",Overloading or under-addressing emotional tension.,Intro Prompt
Proud/Excited,That was awesome—what should I try next?,Test positive reinforcement and challenge elevation.,"Learner smiles, requests next challenge, or celebrates.",Failure to build on excitement or momentum.,Reflection & Next Steps
,,,,,
Input Format,Sample Prompt,Test Objective,What Success Looks Like,What to Flag During Testing,Instructional Flow Step
Free-form questions,Why is the sky blue?,Test natural language understanding and tone matching.,"GPT gives relevant, clear response with affirming tone.","Misinterpretation, formality mismatch, or missed intent.",Subject Mastery
Specific assignments or prompts,Write a 5-paragraph essay on the causes of World War I.,Test clarity of breakdown and rubric awareness.,GPT breaks prompt into structure and models first steps.,"Too generic, rubric-ignorant, or overexplaining.",Skill Coaching
Uploaded student work,(Uploaded file with intro paragraph of essay),"Test close reading of input, contextual feedback, and tone.","GPT summarizes, critiques, or scaffolds improvement.",Inaccurate reference to uploaded content or cold tone.,Error Correction
Bullet points or outlines,"- Solar energy
  - Pros and cons
  - How it works",Test ability to structure from fragments and ask clarifying questions.,GPT converts bullets into organized plan or outline.,"Confusion, unstructured response, or lack of synthesis.",Skill Coaching
Typo-ridden or informal queries,idk how 2 do this plz help,"Test tolerance to noise, friendly decoding, and rephrasing.","GPT responds kindly, rephrases, and guides next action.",Overcorrection or misunderstanding learner intent.,Intro Prompt
Multi-step instructions,"First help me choose a topic, then help with sources, then outline",Test ability to parse tasks and create stepwise plan.,GPT walks learner through sequence without skipping.,"Jumping ahead, unclear transitions, or missed steps.",Reflection & Next Steps
“I don’t know where to start” statements,I don’t even know where to begin with this assignment.,"Test grounding, motivation, and diagnostic questioning.",GPT reassures and identifies a starting point collaboratively.,"Invalidation, vagueness, or rigid pacing under stress.",Intro Prompt
,,,,,
Interaction Complexity,Sample Prompt,Test Objective,What Success Looks Like,What to Flag During Testing,Instructional Flow Step
One-shot (single exchange),What’s Newton’s second law again?,Test immediate clarity and accuracy in isolated response.,"GPT delivers clear, direct, correct answer with context-aware tone.","Overloading, vagueness, or robotic tone.",Subject Mastery
Short guided flow (3–5 messages),"Can you help me break down this paragraph, then help me revise it?","Test tone consistency, progress awareness, and light memory.","GPT maintains flow, builds progressively, and keeps learner engaged.","Tone mismatch, memory drift, or unhelpful next steps.",Skill Coaching
Extended coaching session (10+ turns),Can you help me prep for this test step-by-step over the next 30 minutes?,"Test pacing, cohesion, tone modulation, and scaffolding over time.","GPT adapts pacing, maintains motivation, and tracks progress.","Rambling, repetition, tone flatness, or losing learner focus.",Skill Coaching
Return session with memory continuity,"Hey, I’m back. Can we pick up where we left off on my project?",Test memory accuracy and context rebuilding from prior session.,"GPT recalls key points, resumes tone, and affirms continuity.","Memory loss, tone reset, or missed emotional cues.",Reflection & Next Steps
Topic shift mid-conversation,"Actually, can we switch from math to writing for a minute?",Test smooth topic switching and tone recalibration.,GPT transitions seamlessly and adjusts tone without losing momentum.,"Stalling, confusion, or tone dissonance.",Subject Mastery
Student switches goals mid-session,Wait—can you help me write a cover letter instead of this paper?,Test ability to recognize goal change and adapt plan in real time.,"GPT validates the shift, adjusts tone, and refocuses help immediately.","Inflexibility, resistance to shift, or lost thread.",Instructional Flow Navigation
,,,,,
Agent Role,Sample Prompt,Test Objective,What Success Looks Like,What to Flag During Testing,Instructional Flow Step
"Lead Coach (overview, planning)",Can you help me plan how to tackle this course over the next few weeks?,Test GPT’s strategic guidance and ability to scaffold a learning plan.,"GPT creates a clear, motivating plan with learner input and flexibility.","Vague planning, over-control, or missing learner input.",Reflection & Next Steps
Concept Builder (teaching content),I don’t understand how photosynthesis works—can you explain it?,"Test accuracy, clarity, and learner-centered explanation.","GPT delivers an accurate, analogical, engaging explanation.","Dry lecture tone, inaccurate or confusing explanations.",Subject Mastery
Practice Partner (problem solving),Let’s work through some math problems together.,Test coaching tone and step-by-step problem solving.,"GPT encourages process, coaches through mistakes, and builds confidence.","Rushed answers, missing feedback, or robotic delivery.",Skill Coaching
Feedback Agent (revision support),Here’s my rough draft—what can I improve?,"Test depth of feedback, tone, and revision framing.","GPT identifies strengths and weaknesses with kind, useful suggestions.","Overcorrection, negative tone, or lack of clarity in feedback.",Error Correction
Reflection Coach (meta-cognition),What do you think I’ve learned best so far—and what should I revisit?,Test metacognitive prompts and ability to foster insight.,GPT prompts thoughtful reflection with warmth and insight.,"Flat questions, no emotional attunement, or repetitive prompts.",Reflection & Next Steps
Motivation Agent (re-engagement),I’ve been avoiding this subject. Can you help me get back into it?,"Test motivational tone, empathy, and re-engagement strategies.",GPT uses sincere encouragement and helps define a re-entry point.,Generic cheerleading or missed emotional cues.,Reflection & Next Steps
Challenge Designer (stretch tasks),I’m ready for something harder—can you push me a bit?,Test constructive challenge and adaptive difficulty-setting.,"GPT offers meaningful stretch activity, supports risk-taking tone.","Tasks too easy/hard, tone too intense or too hesitant.",Skill Coaching
,,,,,
Environment or Device Context,Sample Prompt,Test Objective,What Success Looks Like,What to Flag During Testing,Instructional Flow Step
"Mobile use (shorter, tap-typed inputs)",wut’s a simile again?,"Test response to brief, informal, and typo-prone input.","GPT answers clearly, casually, and supportively with proper decoding.","Misinterpretation, stiff tone, or formality mismatch.",Clarification
Voice or audio-based interaction,"Hey CogMyra, what’s the difference between mass and weight?",Test clarity and auditory response phrasing.,GPT responds with listener-friendly phrasing and clarity.,Over-complication or verbose delivery.,Subject Mastery
Touchscreen or stylus input (future vision),(User draws a math problem and taps ‘solve’),Test visual/contextual interpretation and future multimodal readiness.,GPT interprets symbols/touch and offers guided support steps.,"Unclear steps, missing interpretation, or awkward guidance.",Practice
Classroom setting,Can you help me guide students through this worksheet in class?,Test support for teacher facilitation and structured guidance.,"GPT offers teacher-like support with pacing, suggestions, and tone.",One-on-one framing instead of class-wide facilitation.,Skill Coaching
Solo homework setting,Can you help me finish this science review before tomorrow?,"Test independent pacing, scaffolding, and clarity.","GPT structures tasks, checks understanding, and adapts tone.",Assumes prior context or fails to offer re-entry points.,Subject Mastery
Group project assistant,We’re working on a group slideshow—what should my part be?,"Test collaboration guidance, role-splitting, and tone balance.","GPT encourages team dynamics, task division, and inclusive tone.",Over-focus on individual or tone too passive for teamwork.,Skill Coaching
