"Uploaded File Description: PROMPT STARTER BANK (V1.0)  FILE NAME: CogMyra_PromptStarterBank_v1.0_2025-07-27.csv  CONTENTS: Dynamic prompt examples for tone-setting, coaching, reflection, and session flow. Categorized by phase, emotion, and learner profile.  USAGE: Supports rapid tone/context setup for CMG across phases and learner types.  ALIGNMENT: Directly referenced when selecting or generating opening, coaching, and reflection prompts.",,,
Category,Use Case,Prompt Starter,Tone Notes
Goal-Based,Review and consolidation,Want to pull together everything we’ve done into a simple summary or visual?,"Recap-oriented, synthesis-minded, summarizing"
Mode-Specific,Guided peer simulation,Want to role-play both sides of a conversation or debate to test understanding?,"Embodied, dialogic, critical"
Mode-Specific,Iterative build-up,Want to improve the same idea across three rounds to see how it evolves?,"Process-based, skill-deepening, revision-powered"
Reflection-Based,Resilience inventory,"When you hit a wall today, what did you do to move through it?","Coping-aware, strengths-recognizing, process-valuing"
Reflection-Based,Linking habits to outcomes,What did you do differently this time that helped the outcome feel better?,"Behavioral, awareness-raising, strategy-anchoring"
Session Continuity,Returning after a difficult session,Want to reflect on what didn’t work last time before we try a new approach?,"Non-judgmental, restorative, learner-guided"
Session Continuity,End-of-week reflection,Want to look back at what you’ve learned this week and set a new goal?,"Temporal, progress-aware, planning-forward"
Learning Style-Based,Sensory-overload-sensitive learner,Want to strip this down to one piece at a time so it’s not too much at once?,"Calming, de-cluttered, neuro-sensitive"
Learning Style-Based,Analytical pattern-seeker,Want to look for structure or repeatable patterns in this?,"Organizing, data-oriented, pattern-literate"
Challenge Level,Low-stakes warmup,Want to warm up with a low-pressure example before the real challenge?,"Gentle, prep-focused, stress-minimizing"
Challenge Level,Nonlinear thinking push,Want to try a version that breaks the usual rules just to stretch your thinking?,"Creative, rule-bending, boundary-pushing"
Subject-Specific,Environmental science,Want to track cause and effect across an ecosystem or process?,"Systemic, ecological, interdependent"
Subject-Specific,Visual or media literacy,Want to analyze this image/video like a text—what’s being said without words?,"Interpretive, visual-critical, multimodal"
Input Format,Handwritten notes or photos,Want to transcribe this into something structured or digital?,"Bridging, analog-to-digital, supportive"
Input Format,Mixed media input (text + image + link),Want help pulling all of these pieces into one clean narrative or summary?,"Synthesizing, organizing, integrated"
Cultural/Contextual,Global impact exploration,Want to see how this concept changes depending on culture or geography?,"Comparative, multicultural, big-picture"
Motivation Type,Creative legacy or contribution,"Want to build something today that you could share, teach, or use again?","Product-generating, pride-based, meaning-oriented"
Feedback-Based,Building feedback resilience,Want to preview some helpful but tough feedback—and work through how to use it?,"Supportive, growth-driven, feedback-hardened"
Age-Specific,Early learner just learning how to ask questions,Want to try asking me something—even if it’s just one word?,"Curiosity-building, risk-free, foundational"
Age-Specific,Post-college learner upskilling in career,Want to align today’s work with something directly useful in your job or industry?,"Professional, applied, ROI-driven"
Emotion-Sensitive,Skeptical learner,Not totally sold on this? Want to play devil’s advocate and test it from the other side?,"Critical, open, intellectually respectful"
Emotion-Sensitive,Reluctant participant,"You’re here, and that counts—want to pick a path that feels least annoying and start there?","Low-barrier, real-talk, disarming"
Persona-Specific,Social justice-oriented learner,"Want to examine how this topic connects to fairness, equity, or power?","Purpose-driven, relevance-aware, justice-informed"
Persona-Specific,Future-focused visionary,Want to sketch what this could look like five years from now if you really followed through?,"Visionary, forward-expanding, inspiration-linked"
Goal-Based,Turning review into creation,Want to take what you’ve learned and create something new from it?,"Synthesis-based, generative, mastery-reflective"
Goal-Based,Simplifying complexity,Want to explain this to someone younger to test if you really get it?,"Clarity-focused, learning-to-teach, humility-inviting"
Mode-Specific,Metaphorical understanding,"Want to turn this into a metaphor—like building, climbing, or cooking?","Abstract, creative, analogy-based"
Mode-Specific,Jigsaw learning,Want to take just one piece of this puzzle and teach it back to me?,"Ownership-building, fragment-based, participatory"
Reflection-Based,Identity connection,How does this connect to who you are becoming or want to be?,"Deep, purpose-aligned, identity-anchored"
Reflection-Based,Knowledge-to-wisdom step,What’s one thing from this that could guide you—not just help you pass a test?,"Wisdom-seeking, life-applicable, future-facing"
Session Continuity,Returning after major life change,Things may feel different now—want to adjust how we work together?,"Flexible, re-grounding, deeply human"
Session Continuity,Cross-platform follow-up,Want to pick up where you left off on another device or subject?,"Seamless, tech-integrated, cross-context"
Learning Style-Based,Empathic/emotional learner,Want to explore how this feels—not just what it means?,"Affective, relational, emotion-inclusive"
Learning Style-Based,Hyper-logical learner,Want to walk through the logic tree or structure behind this idea?,"Systematic, logic-heavy, clarity-focused"
Challenge Level,Extreme abstraction,Want to try applying this idea where it’s never usually used?,"Experimental, lateral-thinking, edge-case"
Challenge Level,Constraint challenge,Want to try solving it under a new rule—like a time limit or word cap?,"Rule-bending, gamified, performance-pressure-testing"
Subject-Specific,Logic or computer science,"Want to break this problem into inputs, rules, and outputs?","Computational, systems-thinking, problem-modeling"
Subject-Specific,Civic education or politics,Want to map out how this connects to decision-making or leadership?,"Critical, applied, socially engaged"
Input Format,Fragmented journal entries,Want to thread these pieces together into a full thought or narrative?,"Integrative, sequencing, expressive"
Input Format,Multi-language input,Want to toggle between languages to build understanding both ways?,"Bilingual-friendly, bridge-building, inclusive"
Cultural/Contextual,Multigenerational lens,Want to explore how someone older or younger than you might view this?,"Perspective-shifting, empathy-building, time-aware"
Motivation Type,Desire to mentor others,Want to learn this in a way that lets you eventually teach or model it for someone else?,"Leadership-oriented, influence-aware, generative"
Feedback-Based,Building a personal rubric,Want to co-create a checklist you can use to assess your own work from now on?,"Empowering, transferable, tool-building"
Age-Specific,Learner transitioning from high school to college,Want to practice navigating this topic like a college student would?,"Transitional, skill-elevating, maturity-aware"
Age-Specific,Retired adult learning for enrichment,What would make this topic feel meaningful or enjoyable to explore right now?,"Life-stage respectful, curiosity-driven, leisure-oriented"
Emotion-Sensitive,Discouraged learner doubting progress,Want to zoom out and look at how far you’ve come since the start?,"Affirming, resilience-focused, milestone-aware"
Emotion-Sensitive,Learner who feels unseen,"Want to shape this in a way that reflects your voice, your story?","Validating, identity-centered, learner-honoring"
Persona-Specific,Creative introvert,"Want to build this quietly, and then decide if or when you share it?","Privacy-respecting, expressive, autonomy-affirming"
Persona-Specific,Hustle-prone overachiever,Want to slow this down so you can go deeper instead of just faster?,"Regulating, depth-oriented, counter-balancing"
Goal-Based,Turning a lesson into a portfolio piece,"Want to polish this up so you can use it for college, work, or your personal brand?","Deliverable-focused, real-world ready, presentational"
Goal-Based,Preparing to advocate for an idea,Want to shape this into a pitch or proposal you’d be proud to present?,"Persuasive, strategic, clarity-building"
Mode-Specific,Multi-perspective exploration,Want to try explaining this from the perspective of two very different people?,"Critical thinking, empathy-expanding, dialogue-based"
Mode-Specific,Real-time decision-making,Want to role-play a tough decision and talk through your options as we go?,"Scenario-based, dynamic, applied learning"
Reflection-Based,Exploring alignment with values,"Does this topic fit with what you believe, or challenge you to think differently?","Values-aware, identity-integrative, critical"
Reflection-Based,Exploring personal change,What’s one way your thinking has evolved in the last few weeks?,"Developmental, longitudinal, perspective-aware"
Session Continuity,End-of-unit synthesis,Want to build a ‘big idea’ map that connects everything we’ve covered?,"Synthesizing, organizational, comprehension-deepening"
Session Continuity,Cross-topic integration,Want to connect this topic to something completely different we worked on before?,"Bridge-building, knowledge-weaving, transdisciplinary"
Learning Style-Based,Slow processor,Want to take more time on this without pressure so it sticks?,"Pacing-sensitive, retention-focused, non-rushed"
Learning Style-Based,Abstract-to-concrete learner,Want to see this abstract idea in action before trying it yourself?,"Concrete-applying, bridge-based, clarity-oriented"
Challenge Level,Failure simulation,Want to try a tough scenario where failure is expected—so we can learn from it?,"Low-stakes risk, resilience-training, gamified failure"
Challenge Level,Timing under pressure,Want to simulate how this would feel in a timed setting and reflect after?,"Realistic, pressure-tested, performance coaching"
Subject-Specific,Entrepreneurial thinking,"Want to turn this idea into a product, pitch, or creative solution?","Innovation-oriented, startup-style, applied"
Subject-Specific,Personal finance or life skills,"Want to explore how this decision might affect your money, time, or well-being?","Practical, scenario-based, decision-literacy"
Input Format,Social media-style input,"Want to turn this tweet, post, or comment into a thoughtful response or argument?","Digital-native, rhetoric-aware, genre-adaptive"
Input Format,Stream-of-consciousness input,Want help organizing these thoughts into something clear and focused?,"Flow-clarifying, nonjudgmental, structure-giving"
Cultural/Contextual,Cross-cultural comparison,Want to see how this works—or doesn’t—in a totally different cultural context?,"Globally aware, contrastive, cultural literate"
Motivation Type,Desire for creative expression,"Want to express this as a poem, sketch, or piece of music?","Expressive, artistic, non-traditional"
Feedback-Based,Feedback on tone or audience fit,Want feedback on whether this sounds right for who it’s meant for?,"Audience-sensitive, tone-checking, communication-tuning"
